compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,ael_shear_modulus_hrv,ael_bulk_modulus_hrv
P4,aflow:04b2492d8ca90912,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/P1_ICSD_162244,221,cP1,78.7591,113.206
P4,aflow:78fd653f68b2e2a8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCF/P1_ICSD_169539,221,cP1,78.6558,114.011
P4Pt10,aflow:9bb276703d8967fe,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/P2Pt5_ICSD_24327,15,mS28,57.0006,186.832
P4Pt4Sc4,aflow:39b6b6d4ae8c491b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P1Pt1Sc1_ICSD_417911,62,oP12,41.2062,122.877
P4Rh4Se4,aflow:d191af1523eac582,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/P1Rh1Se1_ICSD_648002,198,cP12,86.3458,140.933
P4Rh4Ta4,aflow:9508354e3bf3ff2c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P1Rh1Ta1_ICSD_648003,62,oP12,65.2859,256.22
P4Rh4Zr4,aflow:79b856ddb79574f5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P1Rh1Zr1_ICSD_648009,62,oP12,100.388,197.979
P4Ru2,aflow:8f06f3be73b68d89,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P2Ru1_ICSD_42607,58,oP6,131.284,179.893
P4Ru4,aflow:d1b287b9e3a4ae43,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P1Ru1_ICSD_648015,62,oP8,94.5606,192.214
P4Ru4Ta4,aflow:4a3724566247c38d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P1Ru1Ta1_ICSD_648031,62,oP12,114.671,264.011
P4Ru4Zr4,aflow:57c5847cc0292890,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P1Ru1Zr1_ICSD_648038,62,oP12,106.906,206.969
P4Ru8,aflow:996621a58debd213,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P1Ru2_ICSD_43686,62,oP12,87.9677,242.278
P4S12Th2,aflow:ee26a5a779ae915c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/P2S6Th1_ICSD_35299,84,tP18,7.7032,16.9315
P4Sc12,aflow:9030563808c2ce04,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P1Sc3_ICSD_648101,62,oP16,41.2354,70.5982
P4Ti4,aflow:7af8feba002db5ca,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/P1Ti1_ICSD_24337,194,hP8,78.517,136.065
P4V4Zr4,aflow:39f8773e11d8347a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P1V1Zr1_ICSD_39562,62,oP12,101.511,168.258
P4V8,aflow:79e662353889e0c2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P1V2_ICSD_648271,62,oP12,104.109,202.131
P4W12,aflow:57c7a3dec0c6c844,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/P1W3_ICSD_648282,82,tI32,97.491,273.122
P4W2,aflow:7438c9af5b9868a0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/P2W1_ICSD_37223,36,oS12,130.789,182.709
P4Zn6,aflow:484e22a0ef6720c0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/P2Zn3_ICSD_24487,224,cP10,40.2237,71.7889
P4Zr4,aflow:cb432b9c96163d15,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/P1Zr1_ICSD_648315,194,hP8,75.77,134.168
P6Sr6,aflow:58fb9512679028ef,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/P1Sr1_ICSD_26262,189,hP12,26.7685,44.8153
P6Ti8,aflow:1c4ab62f17e47121,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/P3Ti4_ICSD_648219,220,cI28,57.4266,142.393
P7Pd9Zr5,aflow:7aabc97b552dd006,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/P7Pd9Zr5_ICSD_92438,38,oS42,51.4156,153.491
P7Ru12Sc2,aflow:b24a7033c6d80571,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/P7Ru12Sc2_ICSD_77791,174,hP21,93.4975,226.107
P8Pa6,aflow:4423ebbd06b159db,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/P4Pa3_ICSD_647902,220,cI28,64.7771,129.878
P8Pt4,aflow:70c59c6a369d05a0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/P2Pt1_ICSD_15026,205,cP12,110.872,172.937
P8Rh4,aflow:af45311e1b87606f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/P2Rh1_ICSD_174221,14,mP12,95.2519,163.13
P8Ru2,aflow:f95a2f2d4022151a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/P4Ru1_ICSD_648018,14,mP10,97.486,139.225
P8Sc12,aflow:de5a8809c4a11dbb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P2Sc3_ICSD_41678,62,oP20,53.0314,88.2828
P8Sc12,aflow:f8d04969b55b4767,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P2Sc3_ICSD_41679,62,oP20,58.6054,92.343
P8Si4,aflow:e851bd6b6c7d5b51,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/P2Si1_ICSD_185351,205,cP12,75.6754,110.527
P8Th6,aflow:b54d46195d4156fe,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/P4Th3_ICSD_25724,220,cI28,58.442,106.422
P8Ti4,aflow:3c5bb400e8a7dc38,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/P2Ti1_ICSD_24351,62,oP12,83.7144,126.92
